time,seconds_elapsed,bpm
1781604254433000000,0.41,0
1781604255438000000,1.415000244140625,67
1781604256443000000,2.42,67
1781604257444000000,3.421,68
1781604258449000000,4.426,68
1781604259454000000,5.431000244140625,69
1781604260458000000,6.434999755859375,69
1781604261463000000,7.44,70
1781604262469000000,8.446,69
1781604263474000000,9.450999755859375,69
1781604264479000000,10.456,69
1781604265483000000,11.46,70
1781604266489000000,12.466,70
1781604267494000000,13.471000244140624,71
1781604268499000000,14.476,72
1781604269503000000,15.48,72
1781604270508000000,16.485,72
1781604271513000000,17.49,72
1781604272518000000,18.495000244140623,72
1781604273522000000,19.498999755859376,71
1781604274527000000,20.504,71
1781604275531000000,21.508,71
1781604276535000000,22.512,70
1781604277540000000,23.517,70
1781604278545000000,24.522,70
1781604279549000000,25.526,70
1781604280554000000,26.530999755859376,71
1781604281556000000,27.533,71
1781604282560000000,28.537,71
1781604283565000000,29.542,71
1781604284570000000,30.546999755859375,71
1781604285575000000,31.552,71
1781604286579000000,32.556,71
1781604287583000000,33.56,71
1781604288587000000,34.564,71
1781604289592000000,35.569,71
1781604290597000000,36.574,71
1781604291602000000,37.57899975585938,71
1781604292606000000,38.58300024414063,71
1781604293607000000,39.584,71
1781604294611000000,40.588,71
1781604295616000000,41.593,71
1781604296621000000,42.598,71
1781604297626000000,43.60299975585937,71
1781604298631000000,44.608,72
1781604299635000000,45.612,72
1781604300640000000,46.617,72
1781604301644000000,47.621,72
1781604302649000000,48.626,73
1781604303653000000,49.63,73
1781604304657000000,50.634,73
1781604305661000000,51.638,74
1781604306666000000,52.64299975585938,74
1781604307670000000,53.64700024414063,74
1781604308675000000,54.652,75
1781604309680000000,55.657,76
1781604310684000000,56.661,76
1781604311689000000,57.666,77
1781604312693000000,58.67,77
1781604313699000000,59.676,78
1781604314703000000,60.68,79
1781604315708000000,61.685,79
1781604316713000000,62.69,79
1781604317718000000,63.69500024414062,80
1781604318723000000,64.7,80
1781604319727000000,65.704,81
1781604320733000000,66.71,81
1781604321738000000,67.71499975585938,82
1781604322742000000,68.71900024414063,82
1781604323747000000,69.724,82
1781604324751000000,70.728,82
1781604325756000000,71.733,82
1781604326760000000,72.737,82
1781604327765000000,73.742,82
1781604328770000000,74.74699975585938,83
1781604329774000000,75.75100024414063,83
1781604330779000000,76.756,83
1781604331784000000,77.761,84
1781604332789000000,78.766,84
1781604333793000000,79.77,84
1781604334798000000,80.77500024414063,85
1781604335803000000,81.78,85
1781604336808000000,82.785,86
1781604337812000000,83.789,86
1781604338817000000,84.794,87
1781604339821000000,85.798,87
1781604340825000000,86.802,87
1781604341829000000,87.806,88
1781604342833000000,88.81,88
1781604343838000000,89.81500024414062,88
1781604344842000000,90.81899975585938,89
1781604345847000000,91.824,89
1781604346852000000,92.829,90
1781604347857000000,93.834,90
1781604348862000000,94.83900024414062,90
1781604349867000000,95.844,90
1781604350872000000,96.849,90
1781604351877000000,97.854,90
1781604352881000000,98.858,90
1781604353886000000,99.86300024414062,89
1781604354890000000,100.86699975585938,89
1781604355895000000,101.872,88
1781604356900000000,102.877,88
1781604357905000000,103.882,88
1781604358910000000,104.88700024414062,88
