time,seconds_elapsed,bpm
1781799399505000000,0.427,103
1781799400510000000,1.432000244140625,97
1781799401514000000,2.435999755859375,97
1781799402519000000,3.441,97
1781799403604000000,4.526,96
1781799404809000000,5.731,96
1781799406013000000,6.935,96
1781799407218000000,8.139999755859375,98
1781799408227000000,9.149,99
1781799409232000000,10.154,100
1781799410237000000,11.159,100
1781799411243000000,12.165,100
1781799412247000000,13.169,100
1781799413252000000,14.174,99
1781799414257000000,15.179,100
1781799415261000000,16.183,100
1781799416266000000,17.187999755859376,101
1781799417271000000,18.193,102
1781799418276000000,19.198,103
1781799419280000000,20.202,103
1781799420285000000,21.207,105
1781799421289000000,22.211,105
1781799422294000000,23.216000244140623,106
1781799423298000000,24.219999755859376,104
1781799424303000000,25.225,103
1781799425307000000,26.229,102
1781799426311000000,27.233,0
1781799427316000000,28.238,104
1781799428320000000,29.242,106
1781799429325000000,30.247,105
1781799430329000000,31.251,0
1781799431333000000,32.255,104
1781799432337000000,33.259,102
1781799433342000000,34.264000244140625,101
1781799434347000000,35.269,100
1781799435352000000,36.274,100
1781799436356000000,37.278,102
1781799437361000000,38.283,100
1781799438366000000,39.288000244140626,99
1781799439370000000,40.29199975585937,99
1781799440375000000,41.297,98
1781799441379000000,42.301,98
1781799442383000000,43.305,99
1781799443388000000,44.31,99
1781799444392000000,45.314,98
1781799445396000000,46.318,97
1781799446401000000,47.323,97
1781799447405000000,48.327,97
1781799448409000000,49.331,97
1781799449413000000,50.335,98
1781799450417000000,51.339,98
1781799451421000000,52.343,98
1781799452426000000,53.34799975585938,98
1781799453431000000,54.353,98
1781799454435000000,55.357,98
1781799455440000000,56.362,99
1781799456444000000,57.366,99
1781799457449000000,58.371,98
1781799458453000000,59.375,99
1781799459457000000,60.379,100
1781799460461000000,61.383,100
1781799461465000000,62.387,99
1781799462470000000,63.392000244140625,99
1781799463474000000,64.39599975585938,99
1781799464478000000,65.40000024414063,100
1781799465483000000,66.405,102
1781799466487000000,67.409,104
1781799467491000000,68.413,103
1781799468495000000,69.417,103
1781799469500000000,70.422,103
1781799470504000000,71.426,102
1781799471508000000,72.43,104
1781799472512000000,73.434,104
1781799473516000000,74.438,103
1781799474520000000,75.442,101
1781799475524000000,76.446,102
1781799476529000000,77.451,101
1781799477533000000,78.455,100
1781799478537000000,79.459,100
1781799479541000000,80.463,101
1781799480546000000,81.46799975585938,102
1781799481549000000,82.471,103
1781799482554000000,83.47599975585938,103
1781799483559000000,84.481,105
1781799484563000000,85.485,106
1781799485567000000,86.489,107
1781799486572000000,87.494,107
1781799487576000000,88.498,108
1781799488580000000,89.502,108
1781799489585000000,90.507,109
1781799490589000000,91.511,109
1781799491593000000,92.515,109
1781799492597000000,93.519,109
1781799493601000000,94.523,110
1781799494605000000,95.527,111
1781799495610000000,96.53199975585937,112
1781799496615000000,97.537,112
1781799497619000000,98.541,113
1781799498623000000,99.545,113
1781799499627000000,100.549,114
1781799500632000000,101.554,113
1781799501636000000,102.558,114
1781799502641000000,103.563,113
1781799503646000000,104.56800024414062,113
1781799504650000000,105.57199975585938,113
1781799505655000000,106.577,114
1781799506660000000,107.582,114
1781799507664000000,108.586,115
1781799508668000000,109.59,115
1781799509673000000,110.595,114
1781799510677000000,111.599,114
1781799511682000000,112.60399975585938,113
1781799512687000000,113.609,114
1781799513691000000,114.613,114
1781799514696000000,115.618,115
1781799515700000000,116.622,115
1781799516705000000,117.627,115
1781799517710000000,118.63200024414063,115
1781799518714000000,119.63599975585937,115
1781799519719000000,120.641,115
1781799520724000000,121.646,115
1781799521729000000,122.651,115
1781799522734000000,123.65600024414063,115
1781799523739000000,124.661,115
1781799524744000000,125.666,114
1781799525749000000,126.671,115
1781799526754000000,127.67599975585938,114
1781799527759000000,128.681,115
1781799528763000000,129.685,115
1781799529768000000,130.69,115
1781799530773000000,131.695,115
1781799531777000000,132.699,115
1781799532781000000,133.703,114
1781799533786000000,134.70799975585936,114
1781799534790000000,135.71200024414063,115
1781799535795000000,136.717,115
1781799536799000000,137.721,115
1781799537804000000,138.726,114
1781799538808000000,139.73,114
1781799539812000000,140.734,114
1781799540817000000,141.739,115
1781799541821000000,142.743,116
1781799542825000000,143.747,116
1781799543830000000,144.75200024414062,116
1781799544834000000,145.75599975585936,115
1781799545839000000,146.761,115
1781799546843000000,147.765,115
1781799547848000000,148.77,114
1781799548852000000,149.774,114
1781799549857000000,150.779,114
1781799550861000000,151.783,114
1781799551866000000,152.78799975585937,113
1781799552871000000,153.793,114
1781799553875000000,154.797,114
1781799554880000000,155.802,114
1781799555885000000,156.807,115
1781799556889000000,157.811,114
1781799557894000000,158.81600024414064,113
1781799558899000000,159.821,113
1781799559903000000,160.825,113
1781799560908000000,161.83,113
1781799561913000000,162.835,114
1781799562918000000,163.8400002441406,114
1781799563923000000,164.845,114
1781799564928000000,165.85,115
1781799565933000000,166.855,114
1781799566938000000,167.85999975585938,114
1781799567943000000,168.865,114
1781799568947000000,169.869,115
1781799569952000000,170.874,115
1781799570956000000,171.878,115
1781799571961000000,172.883,115
1781799572966000000,173.8880002441406,115
1781799573971000000,174.893,115
1781799574976000000,175.898,116
