time,seconds_elapsed,bpm
1780854534300000000,-4.461,80
1780854535297000000,-3.464,82
1780854536301000000,-2.46,83
1780854537306000000,-1.455000244140625,83
1780854539996000000,1.235,82
1780854541001000000,2.24,81
1780854542006000000,3.245000244140625,81
1780854543011000000,4.25,82
1780854544016000000,5.255,82
1780854545021000000,6.26,82
1780854546026000000,7.264999755859375,82
1780854547031000000,8.27,0
1780854548036000000,9.275,81
1780854549041000000,10.28,82
1780854550046000000,11.285000244140624,82
1780854551051000000,12.29,82
1780854552056000000,13.295,82
1780854553061000000,14.3,82
1780854554065000000,15.304,81
1780854555070000000,16.309000244140623,82
1780854556075000000,17.314,82
1780854557080000000,18.319,82
1780854558084000000,19.323,80
1780854559089000000,20.328,79
1780854560094000000,21.333000244140624,79
1780854561099000000,22.338,79
1780854562104000000,23.343,79
1780854563109000000,24.348,79
1780854564114000000,25.352999755859376,81
1780854565118000000,26.357000244140625,81
1780854566123000000,27.362,81
1780854567128000000,28.367,81
1780854568133000000,29.372,81
1780854569138000000,30.376999755859377,81
1780854570143000000,31.382,81
1780854571148000000,32.387,81
1780854572153000000,33.392,82
1780854573158000000,34.39700024414063,82
1780854574163000000,35.402,82
1780854575168000000,36.407,81
1780854576173000000,37.412,82
1780854577178000000,38.41699975585937,82
1780854578183000000,39.422,82
1780854579187000000,40.426,84
1780854580193000000,41.432,84
1780854581198000000,42.43700024414063,86
1780854582202000000,43.44099975585937,85
1780854583207000000,44.446,89
1780854584212000000,45.451,88
1780854585216000000,46.455,89
1780854586221000000,47.46,89
1780854587226000000,48.464999755859374,89
1780854588231000000,49.47,90
1780854589236000000,50.475,89
1780854590240000000,51.479,89
1780854591245000000,52.484,88
1780854592249000000,53.488,88
1780854593254000000,54.493000244140624,88
1780854594259000000,55.498,88
1780854595263000000,56.502,88
1780854596268000000,57.507,89
1780854597273000000,58.512,89
1780854598278000000,59.517000244140625,89
1780854599283000000,60.522,89
1780854600288000000,61.527,89
1780854601289000000,62.528,89
1780854602294000000,63.533000244140624,89
1780854603300000000,64.539,89
1780854604305000000,65.544,88
1780854605310000000,66.54900024414063,88
1780854606315000000,67.554,88
1780854607321000000,68.56,87
1780854608325000000,69.564,87
1780854609330000000,70.56899975585938,87
1780854610336000000,71.575,87
1780854611341000000,72.58,87
1780854612346000000,73.58499975585937,87
1780854613351000000,74.59,87
1780854614356000000,75.595,87
1780854615361000000,76.6,87
1780854616367000000,77.606,86
1780854617372000000,78.611,86
1780854618376000000,79.615,86
1780854619381000000,80.62,86
1780854620386000000,81.62499975585938,86
1780854621390000000,82.62900024414063,86
1780854622394000000,83.63299975585937,86
1780854623399000000,84.638,86
1780854624404000000,85.643,86
1780854625409000000,86.648,86
1780854626414000000,87.65300024414063,86
1780854627419000000,88.658,85
1780854628423000000,89.662,85
1780854629429000000,90.668,86
1780854630434000000,91.67299975585938,86
