time,seconds_elapsed,bpm
1781638844045000000,0.519,0
1781638844850000000,1.323999755859375,95
1781638845654000000,2.128000244140625,98
1781638846459000000,2.933,99
1781638847357000000,3.831,98
1781638848362000000,4.835999755859375,100
1781638849367000000,5.841,100
1781638850371000000,6.845,101
1781638851375000000,7.849,99
1781638852380000000,8.854,97
1781638853384000000,9.858,96
1781638854389000000,10.863,95
1781638855393000000,11.867,95
1781638856398000000,12.872000244140626,94
1781638857403000000,13.877,94
1781638858407000000,14.881,94
1781638859412000000,15.886,95
1781638860417000000,16.891,95
1781638861421000000,17.895,96
1781638862426000000,18.899999755859376,96
1781638863431000000,19.905,96
1781638864435000000,20.909,96
1781638865440000000,21.914,96
1781638866444000000,22.918,97
1781638867449000000,23.923,97
1781638868453000000,24.927,97
1781638869457000000,25.931,98
1781638870461000000,26.935,98
1781638871465000000,27.939,97
1781638872469000000,28.943,98
1781638873473000000,29.947,98
1781638874478000000,30.952000244140624,98
1781638875482000000,31.955999755859374,97
1781638876486000000,32.96000024414062,98
1781638877491000000,33.965,99
1781638878495000000,34.969,99
1781638879500000000,35.974,99
1781638880504000000,36.978,100
1781638881509000000,37.983,100
1781638882513000000,38.987,100
1781638883517000000,39.991,100
1781638884521000000,40.995,101
1781638885526000000,42.00000024414062,101
1781638886530000000,43.003999755859375,101
1781638887535000000,44.009,101
1781638888539000000,45.013,101
1781638889544000000,46.018,102
1781638890548000000,47.022,102
1781638891553000000,48.027,102
1781638892558000000,49.032000244140626,101
1781638893563000000,50.037,101
1781638894568000000,51.042,100
1781638895571000000,52.045,100
1781638896576000000,53.05,99
1781638897582000000,54.05600024414063,100
1781638898587000000,55.061,99
1781638899592000000,56.066,99
1781638900596000000,57.07,99
1781638901601000000,58.075,98
1781638902606000000,59.08000024414063,98
1781638903611000000,60.085,98
1781638904615000000,61.089,97
1781638905620000000,62.094,97
1781638906625000000,63.099,97
1781638907630000000,64.10400024414062,98
1781638908634000000,65.10799975585938,98
1781638909640000000,66.114,99
1781638910645000000,67.119,99
1781638911649000000,68.123,98
1781638912654000000,69.12800024414062,97
1781638913658000000,70.13199975585937,97
1781638914663000000,71.137,98
1781638915668000000,72.142,98
1781638916672000000,73.146,97
1781638917676000000,74.15,98
1781638918681000000,75.155,98
1781638919686000000,76.16000024414062,98
1781638920690000000,77.16399975585938,99
1781638921695000000,78.169,100
1781638922700000000,79.174,99
1781638923705000000,80.179,100
1781638924710000000,81.18400024414062,99
1781638925715000000,82.189,99
1781638926719000000,83.193,99
1781638927724000000,84.198,99
1781638928729000000,85.203,98
1781638929733000000,86.207,99
1781638930738000000,87.21199975585938,99
1781638931742000000,88.21600024414063,98
1781638932747000000,89.221,97
1781638933752000000,90.226,97
1781638934756000000,91.23,96
1781638935761000000,92.235,96
1781638936766000000,93.24000024414063,95
1781638937771000000,94.245,95
1781638938775000000,95.249,94
1781638939780000000,96.254,95
1781638940784000000,97.258,96
1781638941789000000,98.263,96
1781638942793000000,99.267,96
1781638943798000000,100.27200024414063,96
1781638944802000000,101.27599975585937,95
1781638945807000000,102.281,96
1781638946811000000,103.285,96
1781638947816000000,104.29,96
1781638948820000000,105.294,96
1781638949825000000,106.299,96
1781638950830000000,107.30400024414062,95
1781638951835000000,108.309,95
1781638952839000000,109.313,95
1781638953844000000,110.318,95
1781638954849000000,111.323,95
1781638955854000000,112.32800024414063,95
1781638956859000000,113.333,96
1781638957863000000,114.337,96
1781638958868000000,115.342,96
1781638959873000000,116.347,96
1781638960878000000,117.35200024414063,97
1781638961883000000,118.357,97
1781638962887000000,119.361,97
1781638963892000000,120.366,97
1781638964897000000,121.371,97
1781638965901000000,122.375,97
1781638966905000000,123.379,97
1781638967910000000,124.38400024414062,97
1781638968915000000,125.389,97
1781638969920000000,126.394,98
1781638970925000000,127.399,97
1781638971929000000,128.403,97
1781638972933000000,129.407,97
1781638973938000000,130.41199975585937,97
1781638974944000000,131.418,98
1781638975948000000,132.422,98
1781638976953000000,133.427,97
1781638977959000000,134.433,97
1781638978963000000,135.437,97
1781638979968000000,136.442,97
1781638980973000000,137.447,97
1781638981978000000,138.45199975585936,96
1781638982983000000,139.457,95
1781638983988000000,140.462,95
1781638984993000000,141.467,0
1781638985998000000,142.47200024414062,96
1781638987003000000,143.477,96
1781638988008000000,144.482,96
1781638989013000000,145.487,96
1781638990019000000,146.493,96
1781638991024000000,147.498,96
1781638992029000000,148.503,96
1781638993033000000,149.507,96
1781638994038000000,150.51200024414064,96
1781638995043000000,151.517,96
1781638996048000000,152.522,96
1781638997053000000,153.527,96
1781638998059000000,154.533,97
1781638999064000000,155.538,97
1781639000069000000,156.543,97
1781639001075000000,157.549,97
1781639002080000000,158.554,98
1781639003086000000,159.56000024414064,98
1781639004091000000,160.565,98
1781639005096000000,161.57,98
1781639006101000000,162.575,97
1781639007106000000,163.57999975585938,98
1781639008111000000,164.585,98
1781639009116000000,165.59,98
1781639010121000000,166.595,98
1781639011126000000,167.60000024414063,98
1781639012131000000,168.605,97
1781639013135000000,169.609,97
1781639014140000000,170.614,97
1781639015144000000,171.618,97
1781639016149000000,172.623,97
1781639017154000000,173.62799975585938,96
1781639018159000000,174.633,96
1781639019164000000,175.638,96
1781639020169000000,176.643,96
1781639021174000000,177.64800024414063,96
1781639022177000000,178.651,95
1781639023182000000,179.6560002441406,95
1781639024187000000,180.661,95
1781639025192000000,181.666,95
1781639026197000000,182.671,95
1781639027202000000,183.67599975585938,96
1781639028207000000,184.681,96
1781639029212000000,185.686,95
1781639030216000000,186.69,95
1781639031222000000,187.69600024414063,95
1781639032227000000,188.701,95
1781639033232000000,189.706,95
1781639034237000000,190.711,95
1781639035243000000,191.717,95
1781639036249000000,192.723,95
1781639037254000000,193.72800024414062,94
1781639038260000000,194.734,94
1781639039265000000,195.739,94
1781639040271000000,196.745,94
1781639041276000000,197.75,94
1781639042282000000,198.75599975585936,95
1781639043288000000,199.762,95
1781639044293000000,200.767,95
1781639045299000000,201.773,95
1781639046304000000,202.778,95
1781639047309000000,203.783,95
1781639048315000000,204.789,95
1781639049321000000,205.795,95
1781639050326000000,206.80000024414062,95
1781639051330000000,207.80399975585937,95
1781639052336000000,208.81,95
1781639053341000000,209.815,95
1781639054346000000,210.81999975585939,95
1781639055351000000,211.825,94
1781639056355000000,212.829,94
1781639057360000000,213.834,94
1781639058366000000,214.8400002441406,94
1781639059371000000,215.845,94
1781639060376000000,216.85,94
1781639061381000000,217.855,94
1781639062386000000,218.85999975585938,94
1781639063391000000,219.865,95
1781639064396000000,220.87,95
1781639065402000000,221.87599975585937,95
1781639066407000000,222.881,96
1781639067412000000,223.886,96
1781639068417000000,224.891,96
1781639069422000000,225.89600024414062,96
1781639070427000000,226.901,96
1781639071433000000,227.907,96
1781639072438000000,228.91200024414061,96
1781639073443000000,229.917,96
1781639074448000000,230.922,96
1781639075453000000,231.927,97
1781639076458000000,232.93199975585938,97
1781639077463000000,233.937,97
1781639078469000000,234.943,97
1781639079474000000,235.94799975585937,97
1781639080480000000,236.954,97
1781639081485000000,237.959,97
1781639082490000000,238.96399975585936,97
1781639083496000000,239.97,97
1781639084501000000,240.975,97
1781639085507000000,241.981,97
1781639086512000000,242.986,97
1781639087517000000,243.991,97
1781639088522000000,244.99599975585937,96
1781639089527000000,246.001,96
1781639090533000000,247.007,95
1781639091538000000,248.01199975585936,94
1781639092543000000,249.017,94
1781639093549000000,250.023,94
1781639094554000000,251.02799975585938,94
1781639095559000000,252.033,94
1781639096564000000,253.038,94
1781639097569000000,254.043,94
1781639098574000000,255.04800024414064,94
1781639099579000000,256.053,94
1781639100584000000,257.058,94
1781639101589000000,258.063,94
1781639102595000000,259.069,94
1781639103600000000,260.074,94
1781639104605000000,261.079,94
1781639105611000000,262.085,94
1781639106616000000,263.09,94
1781639107622000000,264.0960002441406,94
1781639108627000000,265.101,94
1781639109633000000,266.107,94
1781639110638000000,267.11200024414063,94
1781639111643000000,268.117,95
1781639112649000000,269.123,95
1781639113654000000,270.12800024414065,95
1781639114660000000,271.134,95
1781639115665000000,272.139,96
1781639116670000000,273.1440002441406,95
1781639117675000000,274.149,95
1781639118680000000,275.154,95
1781639119686000000,276.16000024414063,95
1781639120691000000,277.165,95
1781639121697000000,278.171,95
1781639122702000000,279.17600024414065,95
1781639123708000000,280.182,95
1781639124713000000,281.187,96
1781639125719000000,282.193,96
1781639126725000000,283.199,96
1781639127731000000,284.205,96
1781639128736000000,285.21,96
1781639129741000000,286.215,95
1781639130746000000,287.21999975585936,95
1781639131752000000,288.226,95
1781639132757000000,289.231,95
1781639133763000000,290.237,95
1781639134768000000,291.242,95
1781639135774000000,292.2480002441406,95
1781639136779000000,293.253,95
1781639137784000000,294.258,95
1781639138790000000,295.2640002441406,95
1781639139796000000,296.27,95
1781639140801000000,297.275,95
1781639141806000000,298.28000024414064,95
1781639142812000000,299.286,96
1781639143817000000,300.291,96
1781639144823000000,301.297,96
1781639145829000000,302.303,96
1781639146834000000,303.3079997558594,96
1781639147840000000,304.314,96
1781639148845000000,305.319,96
1781639149850000000,306.32399975585935,97
1781639150855000000,307.329,97
1781639151861000000,308.335,97
1781639152867000000,309.341,97
1781639153871000000,310.345,97
