time,seconds_elapsed,bpm
1781554564225000000,-0.033,0
1781554565231000000,0.973,73
1781554566236000000,1.978,74
1781554567241000000,2.983,74
1781554568247000000,3.989,75
1781554569253000000,4.995,76
1781554570259000000,6.001,76
1781554571264000000,7.006,76
1781554572270000000,8.012000244140625,77
1781554573276000000,9.018,77
1781554574282000000,10.023999755859375,77
1781554575288000000,11.03,78
1781554576293000000,12.035,78
1781554577298000000,13.039999755859375,79
1781554578304000000,14.046,79
1781554579309000000,15.051,79
1781554580314000000,16.055999755859375,79
1781554581320000000,17.062,79
1781554582325000000,18.067,79
1781554583331000000,19.073,78
1781554584337000000,20.079,78
1781554585342000000,21.084000244140626,78
1781554586348000000,22.09,77
1781554587354000000,23.095999755859374,76
1781554588359000000,24.101,76
1781554589364000000,25.106,75
1781554590370000000,26.111999755859376,74
1781554591375000000,27.117,74
1781554592380000000,28.122,74
1781554593386000000,29.127999755859374,73
1781554594391000000,30.133,73
1781554595397000000,31.139,72
1781554596402000000,32.143999755859376,73
1781554597408000000,33.15,73
1781554598413000000,34.155,73
1781554599418000000,35.159999755859374,73
1781554600421000000,36.163,74
1781554601427000000,37.169,74
1781554602432000000,38.174,74
1781554603437000000,39.179,74
1781554604443000000,40.185,74
1781554605449000000,41.191,75
1781554606454000000,42.19600024414063,75
1781554607459000000,43.201,75
1781554608464000000,44.206,75
1781554609470000000,45.212000244140626,76
1781554610475000000,46.217,76
1781554611481000000,47.223,76
1781554612487000000,48.229,77
1781554613492000000,49.234,77
1781554614498000000,50.23999975585937,78
1781554615503000000,51.245,78
1781554616508000000,52.25,78
1781554617514000000,53.25599975585938,78
1781554618519000000,54.261,78
1781554619524000000,55.266,78
1781554620530000000,56.271999755859376,78
1781554621534000000,57.276000244140626,78
1781554622540000000,58.282,78
1781554623546000000,59.287999755859374,78
1781554624551000000,60.293,78
1781554625557000000,61.299,78
1781554626563000000,62.305,79
1781554627568000000,63.31,79
1781554628573000000,64.315,80
1781554629579000000,65.321,80
1781554630585000000,66.327,81
1781554631591000000,67.333,81
1781554632596000000,68.338,81
1781554633602000000,69.34399975585937,82
1781554634608000000,70.35,82
1781554635614000000,71.35600024414063,83
1781554636619000000,72.361,83
1781554637625000000,73.367,83
1781554638630000000,74.37200024414062,83
1781554639636000000,75.378,83
1781554640641000000,76.383,84
1781554641647000000,77.389,84
1781554642653000000,78.395,84
1781554643658000000,79.39999975585937,85
1781554644664000000,80.406,85
1781554645670000000,81.41200024414063,85
1781554646676000000,82.418,85
1781554647682000000,83.42399975585937,86
1781554648685000000,84.427,86
1781554649691000000,85.433,86
1781554650697000000,86.439,86
1781554651702000000,87.44400024414062,87
1781554652708000000,88.45,87
1781554653714000000,89.45599975585938,87
1781554654716000000,90.458,87
1781554655721000000,91.463,87
1781554656727000000,92.469,87
1781554657732000000,93.474,87
1781554658738000000,94.47999975585938,88
1781554659743000000,95.485,88
1781554660748000000,96.49,88
1781554661754000000,97.49599975585937,88
1781554662759000000,98.501,88
1781554663765000000,99.507,88
1781554664770000000,100.51199975585938,88
1781554665776000000,101.518,88
1781554666782000000,102.52400024414062,89
1781554667787000000,103.529,89
1781554668793000000,104.535,89
1781554669799000000,105.541,89
1781554670805000000,106.547,89
1781554671810000000,107.55199975585937,89
1781554672815000000,108.557,89
1781554673821000000,109.563,90
1781554674826000000,110.56799975585938,90
1781554675832000000,111.574,90
1781554676838000000,112.58000024414062,90
1781554677843000000,113.585,91
1781554678849000000,114.591,91
1781554679854000000,115.59600024414063,91
1781554680860000000,116.602,91
1781554681865000000,117.607,91
1781554682871000000,118.613,91
1781554683876000000,119.618,91
1781554684877000000,120.619,91
1781554685883000000,121.625,91
1781554686888000000,122.63,90
1781554687894000000,123.63600024414062,90
1781554688900000000,124.642,90
1781554689905000000,125.647,90
1781554690911000000,126.653,90
1781554691917000000,127.659,90
1781554692923000000,128.665,90
1781554693928000000,129.67,90
1781554694935000000,130.677,91
1781554695940000000,131.682,91
1781554696945000000,132.687,91
1781554697950000000,133.69200024414062,91
1781554698956000000,134.698,91
1781554699961000000,135.703,91
1781554700967000000,136.709,91
1781554701972000000,137.714,91
1781554702978000000,138.71999975585936,91
1781554703983000000,139.725,91
1781554704989000000,140.731,91
1781554705994000000,141.73599975585938,91
1781554707000000000,142.742,91
1781554708006000000,143.74800024414063,91
1781554709012000000,144.754,91
1781554710018000000,145.75999975585938,91
1781554711023000000,146.765,91
1781554712029000000,147.771,91
1781554713034000000,148.77599975585937,91
1781554714039000000,149.781,91
1781554715045000000,150.787,92
1781554716050000000,151.79199975585936,92
1781554717055000000,152.797,93
1781554718061000000,153.803,93
1781554719066000000,154.80799975585938,94
1781554720069000000,155.811,94
1781554721074000000,156.81599975585937,94
1781554722079000000,157.821,95
1781554723085000000,158.827,95
1781554724091000000,159.833,95
1781554725096000000,160.838,95
1781554726102000000,161.84400024414063,96
1781554727107000000,162.849,96
1781554728113000000,163.855,96
1781554729119000000,164.861,96
1781554730125000000,165.867,96
1781554731131000000,166.873,96
1781554732137000000,167.879,96
1781554733142000000,168.88400024414062,96
1781554734147000000,169.889,96
1781554735153000000,170.895,97
1781554736158000000,171.9000002441406,97
1781554737163000000,172.905,97
1781554738169000000,173.911,97
1781554739174000000,174.91600024414063,98
1781554740180000000,175.922,98
1781554742191000000,177.933,99
1781554743196000000,178.938,99
1781554745206000000,180.94800024414062,99
1781554746211000000,181.953,99
1781554749227000000,184.969,98
1781554750233000000,185.975,98
1781554751238000000,186.98000024414063,98
1781554752243000000,187.985,97
1781554753248000000,188.99,97
1781554754254000000,189.99600024414062,97
1781554755259000000,191.001,97
1781554756265000000,192.007,97
1781554757271000000,193.013,97
1781554758276000000,194.018,98
1781554759281000000,195.023,98
1781554760287000000,196.029,98
1781554761292000000,197.034,98
1781554762298000000,198.03999975585938,98
1781554763303000000,199.045,98
1781554764309000000,200.051,98
1781554765314000000,201.05599975585938,99
1781554766319000000,202.061,99
1781554767325000000,203.067,99
1781554768330000000,204.07199975585937,99
1781554769336000000,205.078,99
1781554770342000000,206.0840002441406,99
1781554771348000000,207.09,100
1781554772353000000,208.095,100
1781554773360000000,209.102,100
1781554774366000000,210.1080002441406,100
1781554775372000000,211.114,99
1781554776378000000,212.11999975585937,99
1781554777384000000,213.126,99
1781554778390000000,214.1320002441406,99
1781554779396000000,215.138,99
1781554780401000000,216.143,99
1781554781407000000,217.149,99
1781554782413000000,218.155,99
1781554783419000000,219.161,100
1781554784425000000,220.167,99
1781554785431000000,221.173,99
1781554786437000000,222.179,99
1781554787443000000,223.185,99
1781554788448000000,224.19,99
1781554789454000000,225.19600024414063,99
1781554790459000000,226.201,99
1781554791465000000,227.207,99
1781554792471000000,228.213,99
1781554793477000000,229.219,99
1781554794482000000,230.22399975585938,99
1781554795488000000,231.23,99
1781554796494000000,232.23600024414063,99
1781554797500000000,233.242,99
1781554798505000000,234.247,99
1781554799511000000,235.253,99
1781554800517000000,236.259,99
1781554801523000000,237.265,99
1781554802530000000,238.27199975585938,99
1781554803535000000,239.277,99
1781554804541000000,240.283,98
1781554805547000000,241.289,98
1781554806553000000,242.295,97
1781554807559000000,243.301,97
1781554808565000000,244.307,97
1781554809571000000,245.313,97
1781554810577000000,246.319,97
1781554811582000000,247.32400024414062,96
1781554812588000000,248.33,96
1781554813594000000,249.33599975585938,96
1781554814600000000,250.342,96
1781554815607000000,251.349,96
1781554816613000000,252.355,95
1781554817618000000,253.35999975585938,95
1781554818623000000,254.365,95
1781554819628000000,255.37,95
1781554820633000000,256.375,95
1781554821639000000,257.381,94
1781554822644000000,258.386,94
1781554823649000000,259.391,94
1781554824655000000,260.397,94
1781554825660000000,261.402,94
1781554826665000000,262.407,93
1781554827670000000,263.41200024414064,93
1781554828675000000,264.417,93
1781554829680000000,265.422,93
1781554830685000000,266.427,93
1781554831690000000,267.43199975585935,93
1781554832695000000,268.437,93
1781554833700000000,269.442,92
1781554834705000000,270.447,92
1781554835709000000,271.451,92
1781554836714000000,272.45599975585935,92
1781554837719000000,273.461,92
1781554838725000000,274.467,92
1781554839730000000,275.4719997558594,92
1781554840735000000,276.477,92
1781554841740000000,277.482,92
1781554842745000000,278.487,92
1781554843750000000,279.4920002441406,92
1781554844755000000,280.497,92
1781554845760000000,281.502,92
1781554846764000000,282.506,92
1781554847769000000,283.511,92
1781554848774000000,284.5160002441406,92
1781554849780000000,285.522,92
1781554850784000000,286.526,92
1781554851789000000,287.531,92
1781554852794000000,288.5359997558594,92
1781554853799000000,289.541,92
1781554854805000000,290.547,92
1781554855810000000,291.55199975585936,92
1781554856816000000,292.558,92
1781554857822000000,293.56400024414063,92
1781554858827000000,294.569,91
1781554859832000000,295.574,91
1781554860837000000,296.579,91
1781554861842000000,297.5839997558594,90
1781554862848000000,298.59,90
1781554863853000000,299.595,90
1781554864857000000,300.599,90
1781554865863000000,301.605,90
1781554866868000000,302.61,90
1781554867874000000,303.6159997558594,90
1781554868879000000,304.621,89
1781554869885000000,305.627,89
1781554870890000000,306.6319997558594,89
1781554871896000000,307.638,89
1781554872901000000,308.643,88
1781554873907000000,309.649,88
1781554874912000000,310.654,88
1781554875918000000,311.66000024414063,88
